scenario_id,protocol_id,split,synthetic_control,generation_seed,latent_contribution_in_ground_truth
syn_pos_0070,prt_syn_pos_0070,test,positive,20260712,true
syn_pos_0071,prt_syn_pos_0071,development,positive,20260712,true
syn_pos_0072,prt_syn_pos_0072,development,positive,20260712,true
syn_pos_0073,prt_syn_pos_0073,calibration,positive,20260712,true
syn_pos_0074,prt_syn_pos_0074,development,positive,20260712,true
syn_pos_0075,prt_syn_pos_0075,development,positive,20260712,true
syn_pos_0076,prt_syn_pos_0076,development,positive,20260712,true
syn_pos_0077,prt_syn_pos_0077,development,positive,20260712,true
syn_pos_0078,prt_syn_pos_0078,calibration,positive,20260712,true
syn_pos_0079,prt_syn_pos_0079,development,positive,20260712,true
syn_pos_0080,prt_syn_pos_0080,test,positive,20260712,true
syn_pos_0081,prt_syn_pos_0081,development,positive,20260712,true
syn_pos_0082,prt_syn_pos_0082,development,positive,20260712,true
syn_pos_0083,prt_syn_pos_0083,test,positive,20260712,true
syn_pos_0084,prt_syn_pos_0084,development,positive,20260712,true
syn_pos_0085,prt_syn_pos_0085,calibration,positive,20260712,true
syn_pos_0086,prt_syn_pos_0086,development,positive,20260712,true
syn_pos_0087,prt_syn_pos_0087,development,positive,20260712,true
syn_pos_0088,prt_syn_pos_0088,development,positive,20260712,true
syn_pos_0089,prt_syn_pos_0089,test,positive,20260712,true
syn_pos_0090,prt_syn_pos_0090,development,positive,20260712,true
syn_pos_0091,prt_syn_pos_0091,test,positive,20260712,true
syn_pos_0092,prt_syn_pos_0092,development,positive,20260712,true
syn_pos_0093,prt_syn_pos_0093,calibration,positive,20260712,true
syn_pos_0094,prt_syn_pos_0094,development,positive,20260712,true
syn_pos_0095,prt_syn_pos_0095,calibration,positive,20260712,true
syn_pos_0096,prt_syn_pos_0096,calibration,positive,20260712,true
syn_pos_0097,prt_syn_pos_0097,development,positive,20260712,true
syn_pos_0098,prt_syn_pos_0098,development,positive,20260712,true
syn_pos_0099,prt_syn_pos_0099,development,positive,20260712,true
syn_pos_0100,prt_syn_pos_0100,calibration,positive,20260712,true
syn_pos_0101,prt_syn_pos_0101,test,positive,20260712,true
syn_pos_0102,prt_syn_pos_0102,development,positive,20260712,true
syn_pos_0103,prt_syn_pos_0103,development,positive,20260712,true
syn_pos_0104,prt_syn_pos_0104,calibration,positive,20260712,true
syn_pos_0105,prt_syn_pos_0105,test,positive,20260712,true
syn_pos_0106,prt_syn_pos_0106,development,positive,20260712,true
syn_pos_0107,prt_syn_pos_0107,test,positive,20260712,true
syn_pos_0108,prt_syn_pos_0108,development,positive,20260712,true
syn_pos_0109,prt_syn_pos_0109,development,positive,20260712,true
syn_pos_0110,prt_syn_pos_0110,development,positive,20260712,true
syn_pos_0111,prt_syn_pos_0111,development,positive,20260712,true
syn_pos_0112,prt_syn_pos_0112,development,positive,20260712,true
syn_pos_0113,prt_syn_pos_0113,development,positive,20260712,true
syn_pos_0114,prt_syn_pos_0114,test,positive,20260712,true
syn_pos_0115,prt_syn_pos_0115,development,positive,20260712,true
syn_pos_0116,prt_syn_pos_0116,development,positive,20260712,true
syn_pos_0117,prt_syn_pos_0117,development,positive,20260712,true
syn_pos_0118,prt_syn_pos_0118,test,positive,20260712,true
syn_pos_0119,prt_syn_pos_0119,development,positive,20260712,true
syn_pos_0120,prt_syn_pos_0120,test,positive,20260712,true
syn_pos_0121,prt_syn_pos_0121,calibration,positive,20260712,true
syn_pos_0122,prt_syn_pos_0122,calibration,positive,20260712,true
syn_pos_0123,prt_syn_pos_0123,development,positive,20260712,true
syn_pos_0124,prt_syn_pos_0124,development,positive,20260712,true
syn_pos_0125,prt_syn_pos_0125,calibration,positive,20260712,true
syn_pos_0126,prt_syn_pos_0126,test,positive,20260712,true
syn_pos_0127,prt_syn_pos_0127,calibration,positive,20260712,true
syn_pos_0128,prt_syn_pos_0128,calibration,positive,20260712,true
syn_pos_0129,prt_syn_pos_0129,development,positive,20260712,true
syn_pos_0130,prt_syn_pos_0130,development,positive,20260712,true
syn_pos_0131,prt_syn_pos_0131,development,positive,20260712,true
syn_pos_0132,prt_syn_pos_0132,development,positive,20260712,true
syn_pos_0133,prt_syn_pos_0133,development,positive,20260712,true
syn_pos_0134,prt_syn_pos_0134,calibration,positive,20260712,true
syn_pos_0135,prt_syn_pos_0135,development,positive,20260712,true
syn_pos_0136,prt_syn_pos_0136,development,positive,20260712,true
syn_pos_0137,prt_syn_pos_0137,calibration,positive,20260712,true
syn_pos_0138,prt_syn_pos_0138,development,positive,20260712,true
syn_pos_0139,prt_syn_pos_0139,calibration,positive,20260712,true
syn_pos_0140,prt_syn_pos_0140,development,positive,20260712,true
syn_pos_0141,prt_syn_pos_0141,development,positive,20260712,true
syn_pos_0142,prt_syn_pos_0142,development,positive,20260712,true
syn_pos_0143,prt_syn_pos_0143,development,positive,20260712,true
syn_pos_0144,prt_syn_pos_0144,test,positive,20260712,true
syn_pos_0145,prt_syn_pos_0145,development,positive,20260712,true
syn_pos_0146,prt_syn_pos_0146,development,positive,20260712,true
syn_pos_0147,prt_syn_pos_0147,development,positive,20260712,true
syn_pos_0148,prt_syn_pos_0148,test,positive,20260712,true
syn_pos_0149,prt_syn_pos_0149,development,positive,20260712,true
syn_pos_0150,prt_syn_pos_0150,development,positive,20260712,true
syn_pos_0151,prt_syn_pos_0151,development,positive,20260712,true
syn_pos_0152,prt_syn_pos_0152,test,positive,20260712,true
syn_pos_0153,prt_syn_pos_0153,development,positive,20260712,true
syn_pos_0154,prt_syn_pos_0154,development,positive,20260712,true
syn_pos_0155,prt_syn_pos_0155,test,positive,20260712,true
syn_pos_0156,prt_syn_pos_0156,development,positive,20260712,true
syn_pos_0157,prt_syn_pos_0157,development,positive,20260712,true
syn_pos_0158,prt_syn_pos_0158,development,positive,20260712,true
syn_pos_0159,prt_syn_pos_0159,calibration,positive,20260712,true
syn_pos_0160,prt_syn_pos_0160,development,positive,20260712,true
syn_pos_0161,prt_syn_pos_0161,development,positive,20260712,true
syn_pos_0162,prt_syn_pos_0162,development,positive,20260712,true
syn_pos_0163,prt_syn_pos_0163,test,positive,20260712,true
syn_pos_0164,prt_syn_pos_0164,development,positive,20260712,true
syn_pos_0165,prt_syn_pos_0165,development,positive,20260712,true
syn_pos_0166,prt_syn_pos_0166,development,positive,20260712,true
syn_pos_0167,prt_syn_pos_0167,test,positive,20260712,true
syn_pos_0168,prt_syn_pos_0168,calibration,positive,20260712,true
syn_pos_0169,prt_syn_pos_0169,calibration,positive,20260712,true
syn_pos_0170,prt_syn_pos_0170,development,positive,20260712,true
syn_pos_0171,prt_syn_pos_0171,calibration,positive,20260712,true
syn_pos_0172,prt_syn_pos_0172,calibration,positive,20260712,true
syn_pos_0173,prt_syn_pos_0173,development,positive,20260712,true
syn_pos_0174,prt_syn_pos_0174,development,positive,20260712,true
syn_pos_0175,prt_syn_pos_0175,test,positive,20260712,true
syn_pos_0176,prt_syn_pos_0176,development,positive,20260712,true
syn_pos_0177,prt_syn_pos_0177,calibration,positive,20260712,true
syn_pos_0178,prt_syn_pos_0178,development,positive,20260712,true
syn_pos_0179,prt_syn_pos_0179,development,positive,20260712,true
syn_pos_0180,prt_syn_pos_0180,test,positive,20260712,true
syn_pos_0181,prt_syn_pos_0181,test,positive,20260712,true
syn_pos_0182,prt_syn_pos_0182,calibration,positive,20260712,true
syn_pos_0183,prt_syn_pos_0183,calibration,positive,20260712,true
syn_pos_0184,prt_syn_pos_0184,development,positive,20260712,true
syn_pos_0185,prt_syn_pos_0185,calibration,positive,20260712,true
syn_pos_0186,prt_syn_pos_0186,calibration,positive,20260712,true
syn_pos_0187,prt_syn_pos_0187,development,positive,20260712,true
syn_pos_0188,prt_syn_pos_0188,development,positive,20260712,true
syn_pos_0189,prt_syn_pos_0189,development,positive,20260712,true
syn_pos_0190,prt_syn_pos_0190,development,positive,20260712,true
syn_pos_0191,prt_syn_pos_0191,calibration,positive,20260712,true
syn_pos_0192,prt_syn_pos_0192,calibration,positive,20260712,true
syn_pos_0193,prt_syn_pos_0193,development,positive,20260712,true
syn_pos_0194,prt_syn_pos_0194,development,positive,20260712,true
syn_pos_0195,prt_syn_pos_0195,development,positive,20260712,true
syn_pos_0196,prt_syn_pos_0196,development,positive,20260712,true
syn_pos_0197,prt_syn_pos_0197,test,positive,20260712,true
syn_pos_0198,prt_syn_pos_0198,test,positive,20260712,true
syn_pos_0199,prt_syn_pos_0199,development,positive,20260712,true
syn_pos_0200,prt_syn_pos_0200,development,positive,20260712,true
syn_pos_0201,prt_syn_pos_0201,development,positive,20260712,true
syn_pos_0202,prt_syn_pos_0202,development,positive,20260712,true
syn_pos_0203,prt_syn_pos_0203,test,positive,20260712,true
syn_pos_0204,prt_syn_pos_0204,calibration,positive,20260712,true
syn_pos_0205,prt_syn_pos_0205,test,positive,20260712,true
syn_pos_0206,prt_syn_pos_0206,test,positive,20260712,true
syn_pos_0207,prt_syn_pos_0207,development,positive,20260712,true
syn_pos_0208,prt_syn_pos_0208,calibration,positive,20260712,true
syn_pos_0209,prt_syn_pos_0209,development,positive,20260712,true
syn_pos_0210,prt_syn_pos_0210,development,positive,20260712,true
syn_pos_0211,prt_syn_pos_0211,development,positive,20260712,true
syn_pos_0212,prt_syn_pos_0212,development,positive,20260712,true
syn_pos_0213,prt_syn_pos_0213,calibration,positive,20260712,true
syn_pos_0214,prt_syn_pos_0214,test,positive,20260712,true
syn_pos_0215,prt_syn_pos_0215,development,positive,20260712,true
syn_pos_0216,prt_syn_pos_0216,calibration,positive,20260712,true
syn_pos_0217,prt_syn_pos_0217,development,positive,20260712,true
syn_pos_0218,prt_syn_pos_0218,test,positive,20260712,true
syn_pos_0219,prt_syn_pos_0219,development,positive,20260712,true
syn_pos_0220,prt_syn_pos_0220,development,positive,20260712,true
syn_pos_0221,prt_syn_pos_0221,test,positive,20260712,true
syn_pos_0222,prt_syn_pos_0222,test,positive,20260712,true
syn_pos_0223,prt_syn_pos_0223,development,positive,20260712,true
syn_pos_0224,prt_syn_pos_0224,test,positive,20260712,true
syn_pos_0225,prt_syn_pos_0225,test,positive,20260712,true
syn_pos_0226,prt_syn_pos_0226,test,positive,20260712,true
syn_pos_0227,prt_syn_pos_0227,development,positive,20260712,true
syn_pos_0228,prt_syn_pos_0228,development,positive,20260712,true
syn_pos_0229,prt_syn_pos_0229,development,positive,20260712,true
syn_pos_0230,prt_syn_pos_0230,development,positive,20260712,true
syn_pos_0231,prt_syn_pos_0231,test,positive,20260712,true
syn_pos_0232,prt_syn_pos_0232,test,positive,20260712,true
syn_pos_0233,prt_syn_pos_0233,development,positive,20260712,true
syn_pos_0234,prt_syn_pos_0234,test,positive,20260712,true
syn_pos_0235,prt_syn_pos_0235,development,positive,20260712,true
syn_pos_0236,prt_syn_pos_0236,development,positive,20260712,true
syn_pos_0237,prt_syn_pos_0237,calibration,positive,20260712,true
syn_pos_0238,prt_syn_pos_0238,test,positive,20260712,true
syn_pos_0239,prt_syn_pos_0239,calibration,positive,20260712,true
syn_pos_0240,prt_syn_pos_0240,development,positive,20260712,true
syn_pos_0241,prt_syn_pos_0241,test,positive,20260712,true
syn_pos_0242,prt_syn_pos_0242,calibration,positive,20260712,true
syn_pos_0243,prt_syn_pos_0243,development,positive,20260712,true
syn_pos_0244,prt_syn_pos_0244,development,positive,20260712,true
syn_pos_0245,prt_syn_pos_0245,development,positive,20260712,true
syn_pos_0246,prt_syn_pos_0246,test,positive,20260712,true
syn_pos_0247,prt_syn_pos_0247,development,positive,20260712,true
syn_pos_0248,prt_syn_pos_0248,test,positive,20260712,true
syn_pos_0249,prt_syn_pos_0249,calibration,positive,20260712,true
syn_pos_0250,prt_syn_pos_0250,test,positive,20260712,true
syn_pos_0251,prt_syn_pos_0251,calibration,positive,20260712,true
syn_pos_0252,prt_syn_pos_0252,development,positive,20260712,true
syn_pos_0253,prt_syn_pos_0253,test,positive,20260712,true
syn_pos_0254,prt_syn_pos_0254,development,positive,20260712,true
syn_pos_0255,prt_syn_pos_0255,development,positive,20260712,true
syn_pos_0256,prt_syn_pos_0256,development,positive,20260712,true
syn_pos_0257,prt_syn_pos_0257,development,positive,20260712,true
syn_pos_0258,prt_syn_pos_0258,calibration,positive,20260712,true
syn_pos_0259,prt_syn_pos_0259,development,positive,20260712,true
syn_pos_0260,prt_syn_pos_0260,development,positive,20260712,true
syn_pos_0261,prt_syn_pos_0261,development,positive,20260712,true
syn_pos_0262,prt_syn_pos_0262,test,positive,20260712,true
syn_pos_0263,prt_syn_pos_0263,test,positive,20260712,true
syn_pos_0264,prt_syn_pos_0264,test,positive,20260712,true
syn_pos_0265,prt_syn_pos_0265,development,positive,20260712,true
syn_pos_0266,prt_syn_pos_0266,development,positive,20260712,true
syn_pos_0267,prt_syn_pos_0267,development,positive,20260712,true
syn_pos_0268,prt_syn_pos_0268,test,positive,20260712,true
syn_pos_0269,prt_syn_pos_0269,development,positive,20260712,true
syn_pos_0270,prt_syn_pos_0270,development,positive,20260712,true
syn_pos_0271,prt_syn_pos_0271,calibration,positive,20260712,true
syn_pos_0272,prt_syn_pos_0272,development,positive,20260712,true
syn_pos_0273,prt_syn_pos_0273,development,positive,20260712,true
syn_pos_0274,prt_syn_pos_0274,test,positive,20260712,true
syn_pos_0275,prt_syn_pos_0275,development,positive,20260712,true
syn_pos_0276,prt_syn_pos_0276,calibration,positive,20260712,true
syn_pos_0277,prt_syn_pos_0277,development,positive,20260712,true
syn_pos_0278,prt_syn_pos_0278,calibration,positive,20260712,true
syn_pos_0279,prt_syn_pos_0279,development,positive,20260712,true
syn_pos_0280,prt_syn_pos_0280,development,positive,20260712,true
syn_pos_0281,prt_syn_pos_0281,development,positive,20260712,true
syn_pos_0282,prt_syn_pos_0282,development,positive,20260712,true
syn_pos_0283,prt_syn_pos_0283,calibration,positive,20260712,true
syn_pos_0284,prt_syn_pos_0284,development,positive,20260712,true
syn_pos_0285,prt_syn_pos_0285,development,positive,20260712,true
syn_pos_0286,prt_syn_pos_0286,test,positive,20260712,true
syn_pos_0287,prt_syn_pos_0287,development,positive,20260712,true
syn_pos_0288,prt_syn_pos_0288,calibration,positive,20260712,true
syn_pos_0289,prt_syn_pos_0289,test,positive,20260712,true
syn_pos_0290,prt_syn_pos_0290,development,positive,20260712,true
syn_pos_0291,prt_syn_pos_0291,development,positive,20260712,true
syn_pos_0292,prt_syn_pos_0292,test,positive,20260712,true
syn_pos_0293,prt_syn_pos_0293,development,positive,20260712,true
syn_pos_0294,prt_syn_pos_0294,development,positive,20260712,true
syn_pos_0295,prt_syn_pos_0295,development,positive,20260712,true
syn_pos_0296,prt_syn_pos_0296,development,positive,20260712,true
syn_pos_0297,prt_syn_pos_0297,development,positive,20260712,true
syn_pos_0298,prt_syn_pos_0298,development,positive,20260712,true
syn_pos_0299,prt_syn_pos_0299,calibration,positive,20260712,true
syn_pos_0300,prt_syn_pos_0300,development,positive,20260712,true
syn_pos_0301,prt_syn_pos_0301,development,positive,20260712,true
syn_pos_0302,prt_syn_pos_0302,development,positive,20260712,true
syn_pos_0303,prt_syn_pos_0303,development,positive,20260712,true
syn_pos_0304,prt_syn_pos_0304,test,positive,20260712,true
syn_pos_0305,prt_syn_pos_0305,development,positive,20260712,true
syn_pos_0306,prt_syn_pos_0306,calibration,positive,20260712,true
syn_pos_0307,prt_syn_pos_0307,development,positive,20260712,true
syn_pos_0308,prt_syn_pos_0308,calibration,positive,20260712,true
syn_pos_0309,prt_syn_pos_0309,development,positive,20260712,true
syn_pos_0310,prt_syn_pos_0310,development,positive,20260712,true
syn_pos_0311,prt_syn_pos_0311,calibration,positive,20260712,true
syn_pos_0312,prt_syn_pos_0312,development,positive,20260712,true
syn_pos_0313,prt_syn_pos_0313,development,positive,20260712,true
syn_pos_0314,prt_syn_pos_0314,test,positive,20260712,true
syn_pos_0315,prt_syn_pos_0315,development,positive,20260712,true
syn_pos_0316,prt_syn_pos_0316,development,positive,20260712,true
syn_pos_0317,prt_syn_pos_0317,calibration,positive,20260712,true
syn_pos_0318,prt_syn_pos_0318,development,positive,20260712,true
syn_pos_0319,prt_syn_pos_0319,development,positive,20260712,true
syn_pos_0320,prt_syn_pos_0320,development,positive,20260712,true
syn_pos_0321,prt_syn_pos_0321,development,positive,20260712,true
syn_pos_0322,prt_syn_pos_0322,development,positive,20260712,true
syn_pos_0323,prt_syn_pos_0323,calibration,positive,20260712,true
syn_pos_0324,prt_syn_pos_0324,development,positive,20260712,true
syn_pos_0325,prt_syn_pos_0325,development,positive,20260712,true
syn_pos_0326,prt_syn_pos_0326,test,positive,20260712,true
syn_pos_0327,prt_syn_pos_0327,development,positive,20260712,true
syn_pos_0328,prt_syn_pos_0328,development,positive,20260712,true
syn_pos_0329,prt_syn_pos_0329,development,positive,20260712,true
syn_pos_0330,prt_syn_pos_0330,development,positive,20260712,true
syn_pos_0331,prt_syn_pos_0331,test,positive,20260712,true
syn_pos_0332,prt_syn_pos_0332,development,positive,20260712,true
syn_pos_0333,prt_syn_pos_0333,development,positive,20260712,true
syn_pos_0334,prt_syn_pos_0334,calibration,positive,20260712,true
syn_pos_0335,prt_syn_pos_0335,development,positive,20260712,true
syn_pos_0336,prt_syn_pos_0336,development,positive,20260712,true
syn_pos_0337,prt_syn_pos_0337,test,positive,20260712,true
syn_pos_0338,prt_syn_pos_0338,test,positive,20260712,true
syn_pos_0339,prt_syn_pos_0339,development,positive,20260712,true
syn_pos_0340,prt_syn_pos_0340,test,positive,20260712,true
syn_pos_0341,prt_syn_pos_0341,development,positive,20260712,true
syn_pos_0342,prt_syn_pos_0342,test,positive,20260712,true
syn_pos_0343,prt_syn_pos_0343,calibration,positive,20260712,true
syn_pos_0344,prt_syn_pos_0344,calibration,positive,20260712,true
syn_pos_0345,prt_syn_pos_0345,development,positive,20260712,true
syn_pos_0346,prt_syn_pos_0346,development,positive,20260712,true
syn_pos_0347,prt_syn_pos_0347,development,positive,20260712,true
syn_pos_0348,prt_syn_pos_0348,development,positive,20260712,true
syn_pos_0349,prt_syn_pos_0349,development,positive,20260712,true
syn_pos_0350,prt_syn_pos_0350,development,positive,20260712,true
syn_pos_0351,prt_syn_pos_0351,development,positive,20260712,true
syn_pos_0352,prt_syn_pos_0352,development,positive,20260712,true
syn_pos_0353,prt_syn_pos_0353,test,positive,20260712,true
syn_pos_0354,prt_syn_pos_0354,development,positive,20260712,true
syn_pos_0355,prt_syn_pos_0355,development,positive,20260712,true
syn_pos_0356,prt_syn_pos_0356,development,positive,20260712,true
syn_pos_0357,prt_syn_pos_0357,development,positive,20260712,true
syn_pos_0358,prt_syn_pos_0358,development,positive,20260712,true
syn_pos_0359,prt_syn_pos_0359,development,positive,20260712,true
syn_pos_0360,prt_syn_pos_0360,development,positive,20260712,true
syn_pos_0361,prt_syn_pos_0361,test,positive,20260712,true
syn_pos_0362,prt_syn_pos_0362,development,positive,20260712,true
syn_pos_0363,prt_syn_pos_0363,development,positive,20260712,true
syn_pos_0364,prt_syn_pos_0364,development,positive,20260712,true
syn_pos_0365,prt_syn_pos_0365,test,positive,20260712,true
syn_pos_0366,prt_syn_pos_0366,test,positive,20260712,true
syn_pos_0367,prt_syn_pos_0367,development,positive,20260712,true
syn_pos_0368,prt_syn_pos_0368,calibration,positive,20260712,true
syn_pos_0369,prt_syn_pos_0369,development,positive,20260712,true
syn_pos_0370,prt_syn_pos_0370,calibration,positive,20260712,true
syn_pos_0371,prt_syn_pos_0371,calibration,positive,20260712,true
syn_pos_0372,prt_syn_pos_0372,development,positive,20260712,true
syn_pos_0373,prt_syn_pos_0373,development,positive,20260712,true
syn_pos_0374,prt_syn_pos_0374,calibration,positive,20260712,true
syn_pos_0375,prt_syn_pos_0375,development,positive,20260712,true
syn_pos_0376,prt_syn_pos_0376,development,positive,20260712,true
syn_pos_0377,prt_syn_pos_0377,test,positive,20260712,true
syn_pos_0378,prt_syn_pos_0378,development,positive,20260712,true
syn_pos_0379,prt_syn_pos_0379,development,positive,20260712,true
syn_pos_0380,prt_syn_pos_0380,test,positive,20260712,true
syn_pos_0381,prt_syn_pos_0381,development,positive,20260712,true
syn_pos_0382,prt_syn_pos_0382,development,positive,20260712,true
syn_pos_0383,prt_syn_pos_0383,test,positive,20260712,true
syn_pos_0384,prt_syn_pos_0384,test,positive,20260712,true
syn_pos_0385,prt_syn_pos_0385,test,positive,20260712,true
syn_pos_0386,prt_syn_pos_0386,development,positive,20260712,true
syn_pos_0387,prt_syn_pos_0387,development,positive,20260712,true
syn_pos_0388,prt_syn_pos_0388,calibration,positive,20260712,true
syn_pos_0389,prt_syn_pos_0389,test,positive,20260712,true
syn_pos_0390,prt_syn_pos_0390,development,positive,20260712,true
syn_pos_0391,prt_syn_pos_0391,development,positive,20260712,true
syn_pos_0392,prt_syn_pos_0392,test,positive,20260712,true
syn_pos_0393,prt_syn_pos_0393,development,positive,20260712,true
syn_pos_0394,prt_syn_pos_0394,test,positive,20260712,true
syn_pos_0395,prt_syn_pos_0395,development,positive,20260712,true
syn_pos_0396,prt_syn_pos_0396,calibration,positive,20260712,true
syn_pos_0397,prt_syn_pos_0397,development,positive,20260712,true
syn_pos_0398,prt_syn_pos_0398,development,positive,20260712,true
syn_pos_0399,prt_syn_pos_0399,development,positive,20260712,true
syn_pos_0400,prt_syn_pos_0400,calibration,positive,20260712,true
syn_pos_0401,prt_syn_pos_0401,development,positive,20260712,true
syn_pos_0402,prt_syn_pos_0402,test,positive,20260712,true
syn_pos_0403,prt_syn_pos_0403,development,positive,20260712,true
syn_pos_0404,prt_syn_pos_0404,development,positive,20260712,true
syn_pos_0405,prt_syn_pos_0405,development,positive,20260712,true
syn_pos_0406,prt_syn_pos_0406,development,positive,20260712,true
syn_pos_0407,prt_syn_pos_0407,development,positive,20260712,true
syn_pos_0408,prt_syn_pos_0408,development,positive,20260712,true
syn_pos_0409,prt_syn_pos_0409,calibration,positive,20260712,true
syn_pos_0410,prt_syn_pos_0410,calibration,positive,20260712,true
syn_pos_0411,prt_syn_pos_0411,calibration,positive,20260712,true
syn_pos_0412,prt_syn_pos_0412,calibration,positive,20260712,true
syn_pos_0413,prt_syn_pos_0413,test,positive,20260712,true
syn_pos_0414,prt_syn_pos_0414,development,positive,20260712,true
syn_pos_0415,prt_syn_pos_0415,development,positive,20260712,true
syn_pos_0416,prt_syn_pos_0416,development,positive,20260712,true
syn_pos_0417,prt_syn_pos_0417,development,positive,20260712,true
syn_pos_0418,prt_syn_pos_0418,development,positive,20260712,true
syn_pos_0419,prt_syn_pos_0419,calibration,positive,20260712,true
syn_pos_0420,prt_syn_pos_0420,calibration,positive,20260712,true
syn_pos_0421,prt_syn_pos_0421,test,positive,20260712,true
syn_pos_0422,prt_syn_pos_0422,development,positive,20260712,true
syn_pos_0423,prt_syn_pos_0423,calibration,positive,20260712,true
syn_pos_0424,prt_syn_pos_0424,calibration,positive,20260712,true
syn_pos_0425,prt_syn_pos_0425,development,positive,20260712,true
syn_pos_0426,prt_syn_pos_0426,development,positive,20260712,true
syn_pos_0427,prt_syn_pos_0427,development,positive,20260712,true
syn_pos_0428,prt_syn_pos_0428,development,positive,20260712,true
