document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,selected_k,doc_topic_prior,topic_word_prior,random_state
35,extended_run_001,prt_0035_00,scn_0035,0.342136369112,0.364169825869,0.285753767834,0.00794003718508,4,,,11
36,extended_run_001,prt_0036_00,scn_0036,0.39250498504,0.591454571927,0.00824717348958,0.00779326954367,4,,,11
37,extended_run_001,prt_0037_00,scn_0037,0.454086810178,0.529999536843,0.00809036306544,0.00782328991303,4,,,11
38,extended_run_001,prt_0038_00,scn_0038,0.639504485923,0.344389589032,0.00800886583485,0.00809705920942,4,,,11
39,extended_run_001,prt_0039_00,scn_0039,0.625513784787,0.0079046303148,0.00786095864841,0.35872062625,4,,,11
40,extended_run_001,prt_0040_00,scn_0040,0.70289266018,0.0078032826782,0.00787356793312,0.281430489208,4,,,11
41,extended_run_001,prt_0041_00,scn_0041,0.622220174589,0.00774190406446,0.00784839432948,0.362189527017,4,,,11
42,extended_run_001,prt_0042_00,scn_0042,0.585797633691,0.398311009792,0.0080488735022,0.0078424830148,4,,,11
43,extended_run_001,prt_0043_00,scn_0043,0.624500672765,0.359789261941,0.00790678124179,0.00780328405154,4,,,11
44,extended_run_001,prt_0044_00,scn_0044,0.615015885243,0.00830846566753,0.368397606815,0.00827804227431,4,,,11
45,extended_run_001,prt_0045_00,scn_0045,0.496018103029,0.00813713461702,0.487917287064,0.00792747529025,4,,,11
46,extended_run_001,prt_0046_00,scn_0046,0.520472953304,0.00810814954967,0.462795660839,0.00862323630743,4,,,11
47,extended_run_001,prt_0047_00,scn_0047,0.330783294639,0.00776996378912,0.00832105562004,0.653125685951,4,,,11
48,extended_run_001,prt_0048_00,scn_0048,0.345168939646,0.00773769903915,0.00850034838118,0.638593012934,4,,,11
49,extended_run_001,prt_0049_00,scn_0049,0.507125780076,0.287042754948,0.19771958756,0.00811187741593,4,,,11
50,extended_run_001,prt_0050_00,scn_0050,0.350655593171,0.217792858884,0.423535343512,0.008016204433,4,,,11
51,extended_run_001,prt_0051_00,scn_0051,0.226283481268,0.115979467427,0.649487503892,0.00824954741212,4,,,11
52,extended_run_001,prt_0052_00,scn_0052,0.0585962902787,0.00797763121315,0.925603619074,0.0078224594339,4,,,11
53,extended_run_001,prt_0053_00,scn_0053,0.0710286782768,0.00803287670514,0.913034412723,0.00790403229462,4,,,11
54,extended_run_001,prt_0054_00,scn_0054,0.0837755644282,0.0078608164371,0.450945709825,0.45741790931,4,,,11
55,extended_run_001,prt_0055_00,scn_0055,0.0656323034843,0.00788645120418,0.605587339397,0.320893905915,4,,,11
56,extended_run_001,prt_0056_00,scn_0056,0.0721072659689,0.00807801304855,0.912014884837,0.00779983614596,4,,,11
57,extended_run_001,prt_0057_00,scn_0057,0.00782810919043,0.00788299236782,0.976218657396,0.00807024104553,4,,,11
58,extended_run_001,prt_0058_00,scn_0058,0.00782624761532,0.00802451255437,0.976332485628,0.00781675420239,4,,,11
59,extended_run_001,prt_0059_00,scn_0059,0.0081087749875,0.00787042064198,0.892007708601,0.0920130957699,4,,,11
60,extended_run_001,prt_0060_00,scn_0060,0.00783664937885,0.00795502484839,0.976425640653,0.00778268511961,4,,,11
61,extended_run_001,prt_0061_00,scn_0061,0.00785713042706,0.00786513407396,0.733116015227,0.251161720272,4,,,11
62,extended_run_001,prt_0062_00,scn_0062,0.00795718244364,0.00786553920837,0.556709472623,0.427467805725,4,,,11
63,extended_run_001,prt_0063_00,scn_0063,0.00841702182365,0.23921941273,0.74433550277,0.00802806267669,4,,,11
64,extended_run_001,prt_0064_00,scn_0064,0.117500929462,0.159052317806,0.715439311103,0.00800744162893,4,,,11
65,extended_run_001,prt_0065_00,scn_0065,0.00823815037193,0.130706166877,0.852706342417,0.0083493403336,4,,,11
66,extended_run_001,prt_0066_00,scn_0066,0.00817071789649,0.247282736149,0.736581060358,0.00796548559706,4,,,11
67,extended_run_001,prt_0067_00,scn_0067,0.00821548361819,0.231939139447,0.751819915278,0.00802546165614,4,,,11
68,extended_run_001,prt_0068_00,scn_0068,0.00815989583711,0.00796989472094,0.332723728936,0.651146480506,4,,,11
69,extended_run_001,prt_0069_00,scn_0069,0.0081394591216,0.00799298644945,0.278641769968,0.705225784461,4,,,11
70,extended_run_001,prt_0070_00,scn_0070,0.00781202408618,0.00811397928203,0.976268443452,0.00780555317981,4,,,11
71,extended_run_001,prt_0071_00,scn_0071,0.00780417558946,0.00803037274648,0.97607356157,0.00809189009443,4,,,11
72,extended_run_001,prt_0072_00,scn_0072,0.00782083962815,0.00798134610358,0.976393417347,0.00780439692162,4,,,11
73,extended_run_001,prt_0073_00,scn_0073,0.00805303211858,0.00787255832471,0.976167430027,0.00790697952965,4,,,11
74,extended_run_001,prt_0074_00,scn_0074,0.00807276251165,0.00787158243468,0.765107111031,0.218948544022,4,,,11
75,extended_run_001,prt_0075_00,scn_0075,0.00776062392834,0.0078897001737,0.807066940168,0.17728273573,4,,,11
76,extended_run_001,prt_0076_00,scn_0076,0.00772181712564,0.00781894339192,0.618839354946,0.365619884537,4,,,11
77,extended_run_001,prt_0077_00,scn_0077,0.0082985755923,0.343220982508,0.640661647997,0.0078187939033,4,,,11
78,extended_run_001,prt_0078_00,scn_0078,0.00816117514558,0.668132693324,0.315856539897,0.00784959163326,4,,,11
79,extended_run_001,prt_0079_00,scn_0079,0.00826580287422,0.610401850343,0.313765227482,0.0675671193012,4,,,11
80,extended_run_001,prt_0080_00,scn_0080,0.00836132320741,0.43860354335,0.545189348287,0.00784578515506,4,,,11
81,extended_run_001,prt_0081_00,scn_0081,0.097574950859,0.344318031513,0.550221318459,0.00788569916892,4,,,11
82,extended_run_001,prt_0082_00,scn_0082,0.146608204809,0.00815165073158,0.267019255513,0.578220888947,4,,,11
83,extended_run_001,prt_0083_00,scn_0083,0.160716344962,0.00824831270446,0.245646537918,0.585388804415,4,,,11
84,extended_run_001,prt_0084_00,scn_0084,0.00809811412756,0.744839430573,0.239134044006,0.00792841129323,4,,,11
85,extended_run_001,prt_0085_00,scn_0085,0.00780618875927,0.976531753492,0.00785092081822,0.00781113693053,4,,,11
86,extended_run_001,prt_0086_00,scn_0086,0.00782893720243,0.976524217255,0.00783033187734,0.00781651366491,4,,,11
87,extended_run_001,prt_0087_00,scn_0087,0.00794117164487,0.838965521157,0.00785619423193,0.145237112966,4,,,11
88,extended_run_001,prt_0088_00,scn_0088,0.00799563928706,0.008183435017,0.007940835729,0.975880089967,4,,,11
89,extended_run_001,prt_0089_00,scn_0089,0.00786810781666,0.221326592371,0.00788686378393,0.762918436028,4,,,11
90,extended_run_001,prt_0090_00,scn_0090,0.00795525484834,0.0082930193064,0.00815001505469,0.975601710791,4,,,11
91,extended_run_001,prt_0091_00,scn_0091,0.00805424430907,0.719868750468,0.00817504292604,0.263901962297,4,,,11
92,extended_run_001,prt_0092_00,scn_0092,0.00805226096702,0.668327137256,0.00805417717831,0.315566424599,4,,,11
93,extended_run_001,prt_0093_00,scn_0093,0.00803601164951,0.683223970847,0.00805486368349,0.30068515382,4,,,11
94,extended_run_001,prt_0094_00,scn_0094,0.00793956973675,0.00813083139171,0.00790721157213,0.976022387299,4,,,11
95,extended_run_001,prt_0095_00,scn_0095,0.00802078879912,0.499314613826,0.00811303527419,0.4845515621,4,,,11
96,extended_run_001,prt_0096_00,scn_0096,0.00791322478491,0.00801814612936,0.007848439683,0.976220189403,4,,,11
97,extended_run_001,prt_0097_00,scn_0097,0.00792331903948,0.00803857924029,0.00785319444718,0.976184907273,4,,,11
98,extended_run_001,prt_0098_00,scn_0098,0.00811838492987,0.605321010152,0.00801885190845,0.378541753009,4,,,11
99,extended_run_001,prt_0099_00,scn_0099,0.00802408742174,0.432433273623,0.00796146389116,0.551581175064,4,,,11
100,extended_run_001,prt_0100_00,scn_0100,0.00792616809524,0.673628441419,0.00810973841888,0.310335652067,4,,,11
101,extended_run_001,prt_0101_00,scn_0101,0.00797437016914,0.73194496764,0.00803314882768,0.252047513364,4,,,11
102,extended_run_001,prt_0102_00,scn_0102,0.0078932836659,0.5149939707,0.00796303583607,0.469149709798,4,,,11
103,extended_run_001,prt_0103_00,scn_0103,0.0078239062745,0.00812637722191,0.00775883871725,0.976290877786,4,,,11
104,extended_run_001,prt_0104_00,scn_0104,0.00796188877089,0.00800631640841,0.160203079873,0.823828714948,4,,,11
105,extended_run_001,prt_0105_00,scn_0105,0.00799783221587,0.00813992969536,0.976018941795,0.00784329629338,4,,,11
106,extended_run_001,prt_0106_00,scn_0106,0.00796581431003,0.00799568711032,0.976155437683,0.00788306089704,4,,,11
107,extended_run_001,prt_0107_00,scn_0107,0.00797340163445,0.00811871778243,0.976039139919,0.00786874066398,4,,,11
108,extended_run_001,prt_0108_00,scn_0108,0.00785964855451,0.0079454438012,0.976363876282,0.00783103136262,4,,,11
109,extended_run_001,prt_0109_00,scn_0109,0.00807782904147,0.00792137785775,0.742296704768,0.241704088333,4,,,11
110,extended_run_001,prt_0110_00,scn_0110,0.00794026135856,0.00802286558508,0.870799184303,0.113237688753,4,,,11
111,extended_run_001,prt_0111_00,scn_0111,0.00825856828952,0.00794964194896,0.569167540966,0.414624248795,4,,,11
112,extended_run_001,prt_0112_00,scn_0112,0.00791882510316,0.00798937542149,0.976257848781,0.00783395069434,4,,,11
113,extended_run_001,prt_0113_00,scn_0113,0.00794266838788,0.00804905475272,0.976189419212,0.00781885764737,4,,,11
114,extended_run_001,prt_0114_00,scn_0114,0.165966145013,0.00815276708259,0.817959261927,0.00792182597719,4,,,11
115,extended_run_001,prt_0115_00,scn_0115,0.206200047799,0.00812149098433,0.777885882665,0.00779257855235,4,,,11
116,extended_run_001,prt_0116_00,scn_0116,0.223359863262,0.00801382999087,0.760824666254,0.00780164049331,4,,,11
117,extended_run_001,prt_0117_00,scn_0117,0.490285525488,0.00799284016966,0.0082178851996,0.493503749143,4,,,11
118,extended_run_001,prt_0118_00,scn_0118,0.436261008723,0.00800928242307,0.00822243062095,0.547507278233,4,,,11
119,extended_run_001,prt_0119_00,scn_0119,0.454638862278,0.529270840687,0.00825242533531,0.00783787169961,4,,,11
120,extended_run_001,prt_0120_00,scn_0120,0.278895306399,0.00809108151048,0.705190688398,0.00782292369297,4,,,11
121,extended_run_001,prt_0121_00,scn_0121,0.467876368171,0.289183327795,0.235151593296,0.0077887107379,4,,,11
122,extended_run_001,prt_0122_00,scn_0122,0.625250201309,0.230329736024,0.13657707641,0.00784298625694,4,,,11
123,extended_run_001,prt_0123_00,scn_0123,0.768900046895,0.00807695219276,0.00793906937638,0.215083931535,4,,,11
124,extended_run_001,prt_0124_00,scn_0124,0.557739410134,0.00784789615991,0.00786761475234,0.426545078954,4,,,11
125,extended_run_001,prt_0125_00,scn_0125,0.3954835793,0.00805390975097,0.171492421477,0.424970089471,4,,,11
126,extended_run_001,prt_0126_00,scn_0126,0.36472090039,0.619282081751,0.00821406668791,0.00778295117128,4,,,11
127,extended_run_001,prt_0127_00,scn_0127,0.390283296317,0.59387049476,0.00805050099193,0.00779570793136,4,,,11
128,extended_run_001,prt_0128_00,scn_0128,0.546656289639,0.437270214104,0.00820294213174,0.00787055412558,4,,,11
129,extended_run_001,prt_0129_00,scn_0129,0.526199559166,0.00804416129969,0.00795688553312,0.457799394001,4,,,11
130,extended_run_001,prt_0130_00,scn_0130,0.306392058617,0.537067525321,0.00801914117178,0.14852127489,4,,,11
131,extended_run_001,prt_0131_00,scn_0131,0.30702048704,0.00826488967664,0.00781659050284,0.676898032781,4,,,11
132,extended_run_001,prt_0132_00,scn_0132,0.303119161458,0.00807831821264,0.00792077495153,0.680881745378,4,,,11
133,extended_run_001,prt_0133_00,scn_0133,0.00831074644448,0.975449884781,0.00813966969622,0.00809969907806,4,,,11
134,extended_run_001,prt_0134_00,scn_0134,0.00827863647258,0.855715724916,0.00807469900969,0.127930939601,4,,,11
135,extended_run_001,prt_0135_00,scn_0135,0.00819894133387,0.975556730955,0.00821773380831,0.00802659390306,4,,,11
136,extended_run_001,prt_0136_00,scn_0136,0.00835101360576,0.390309766402,0.592942999656,0.00839622033585,4,,,11
137,extended_run_001,prt_0137_00,scn_0137,0.230454825767,0.00805344395964,0.00819405726694,0.753297673006,4,,,11
138,extended_run_001,prt_0138_00,scn_0138,0.154580512626,0.00800536037595,0.00831931466113,0.829094812337,4,,,11
139,extended_run_001,prt_0139_00,scn_0139,0.156413619839,0.00797913884047,0.00818224827255,0.827424993048,4,,,11
140,extended_run_001,prt_0140_00,scn_0140,0.00777606104251,0.172321209013,0.811994972595,0.00790775735035,4,,,11
141,extended_run_001,prt_0141_00,scn_0141,0.0078164064772,0.203238483298,0.781017993574,0.00792711665023,4,,,11
142,extended_run_001,prt_0142_00,scn_0142,0.00795745203045,0.218147650546,0.765874838813,0.00802005861016,4,,,11
143,extended_run_001,prt_0143_00,scn_0143,0.00823989844931,0.00790306726061,0.550607328828,0.433249705462,4,,,11
144,extended_run_001,prt_0144_00,scn_0144,0.212236058595,0.0078276191582,0.688220755455,0.0917155667916,4,,,11
145,extended_run_001,prt_0145_00,scn_0145,0.00806083357155,0.00770380252666,0.464494469583,0.519740894319,4,,,11
146,extended_run_001,prt_0146_00,scn_0146,0.0081501460549,0.00775868787545,0.530054073198,0.454037092871,4,,,11
147,extended_run_001,prt_0147_00,scn_0147,0.306390944186,0.00814920122643,0.677495197424,0.00796465716365,4,,,11
148,extended_run_001,prt_0148_00,scn_0148,0.350199663752,0.00805921563735,0.633764285065,0.00797683554481,4,,,11
149,extended_run_001,prt_0149_00,scn_0149,0.198747287442,0.00815040087288,0.523758414726,0.269343896959,4,,,11
